Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.124223, 0.116286, 0.00721245, 0.396901
1, 0.0464066, 0.00475465, 0.0236128, 0.154853
2, 0.0418986, 0.0047737, 0.0384732, 0.103311
3, 0.0393452, 0.00481925, 0.538442, 0.0780788
4, 0.0375299, 0.00482675, 0.39226, 0.0583917
5, 0.0358424, 0.004844, 0, 0.0425936
6, 0.0343166, 0.00484425, 0, 0.0310536
7, 0.0329838, 0.00475975, 0, 0.0232432
8, 0.0316709, 0.0047796, 0, 0.0179335
9, 0.0302873, 0.00476855, 0, 0.0144218
10, 0.0288317, 0.00476745, 0, 0.0116954
11, 0.0276041, 0.00474895, 0, 0.00976145
12, 0.0263564, 0.0047258, 0, 0.00817205
13, 0.0250103, 0.00468705, 0, 0.00691695
14, 0.0237466, 0.0046725, 0, 0.0058421
15, 0.0226006, 0.0046287, 0, 0.0049931
16, 0.0215192, 0.00462095, 0, 0.0042525
17, 0.0206932, 0.00457935, 0, 0.00363395
18, 0.0195311, 0.00455655, 0, 0.00312695
19, 0.0185671, 0.0045537, 0, 0.00272985
20, 0.0175654, 0.0045542, 0, 0.00233165
21, 0.0172249, 0.00453205, 0, 0.00201925
22, 0.0164629, 0.00448675, 0, 0.0017475
23, 0.0156094, 0.0044633, 0, 0.0015171
24, 0.01491, 0.00445135, 0, 0.00131195
25, 0.014351, 0.00442355, 0, 0.0011483
26, 0.0136878, 0.004399, 0, 0.00100045
27, 0.0129637, 0.0043859, 0, 0.00086775
28, 0.0122761, 0.0043613, 0, 0.0007508
29, 0.0119029, 0.0043358, 0, 0.00066675
30, 0.0112876, 0.00431315, 0, 0.00057155
31, 0.010605, 0.00431255, 0, 0.0004999
32, 0.0102738, 0.00428715, 0, 0.00043505
33, 0.0098092, 0.00425185, 0, 0.0003837
34, 0.0092507, 0.00422875, 0, 0.00034415
35, 0.00884885, 0.0042334, 0, 0.0003006
36, 0.0083643, 0.00418265, 0, 0.000265
37, 0.0081779, 0.00417185, 0, 0.0002295
38, 0.00781055, 0.00417475, 0, 0.00020195
39, 0.0075429, 0.0041299, 0, 0.00017945
40, 0.0071071, 0.0041225, 0, 0.0001563
41, 0.00662735, 0.0041097, 0, 0.0001358
42, 0.00623505, 0.0040769, 0, 0.0001189
43, 0.0057956, 0.00403975, 0, 0.0001045
44, 0.0054414, 0.00404905, 0, 9.38e-05
45, 0.0050549, 0.0039996, 0, 8.085e-05
46, 0.0045427, 0.00400045, 0, 7.435e-05
47, 0.00421275, 0.0039744, 0, 6.455e-05
48, 0.0039345, 0.00398255, 0, 5.845e-05
49, 0.0036512, 0.00388945, 0, 4.96e-05
50, 0.0032736, 0.00389305, 0, 4.355e-05
51, 0.00277475, 0.00390445, 0, 3.88e-05
52, 0.00241, 0.0038581, 0, 3.585e-05
53, 0.0020334, 0.0038803, 0, 2.785e-05
54, 0.00170635, 0.00386025, 0, 2.68e-05
55, 0.0014831, 0.00383215, 0, 2.305e-05
56, 0.00124945, 0.00381255, 0, 2.045e-05
57, 0.0010632, 0.0038383, 0, 1.89e-05
58, 0.0008409, 0.0038094, 0, 1.73e-05
59, 0.0006754, 0.0037743, 0, 1.575e-05
60, 0.0005404, 0.0037485, 0, 1.34e-05
61, 0.0004091, 0.00372175, 0, 1.165e-05
62, 0.0003142, 0.00371805, 0, 9.8e-06
63, 0.00020895, 0.00370165, 0, 8.85e-06
64, 0.00016765, 0.0036845, 0, 7e-05
65, 0.00011295, 0.003673, 0, 3e-07
66, 7.035e-05, 0.0036624, 0, 2.5e-07
67, 4.735e-05, 0.00364855, 0, 4e-07
68, 3.195e-05, 0.00361695, 0, 3.5e-07
69, 2.41e-05, 0.00358665, 0, 2.5e-07
70, 1.72e-05, 0.00360915, 0, 3e-07
71, 1.695e-05, 0.0035701, 0, 5e-08
72, 1.115e-05, 0.00353795, 0, 5e-08
73, 6.3e-06, 0.0035231, 0, 2.5e-07
74, 6.9e-06, 0.0035314, 0, 1.5e-07
75, 5.4e-06, 0.00347265, 0, 5e-08
76, 5.2e-06, 0.0034529, 0, 1e-07
77, 1.3e-06, 0.0034284, 0, 1e-07
78, 3e-07, 0.0034065, 0, 1e-07
79, 0, 0.00339265, 0, 5e-08
80, 0, 0.0033893, 0, 5e-08
81, 0, 0.0033392, 0, 0
82, 0, 0.00331995, 0, 1e-07
83, 0, 0.00330185, 0, 0
84, 0, 0.00332745, 0, 0
85, 0, 0.00327715, 0, 0
86, 0, 0.00323965, 0, 0
87, 0, 0.0032379, 0, 5e-08
88, 0, 0.0032397, 0, 1e-07
89, 0, 0.0031987, 0, 0
90, 0, 0.0032356, 0, 5e-08
91, 0, 0.0032062, 0, 5e-08
92, 0, 0.0031831, 0, 0
93, 0, 0.003163, 0, 0
94, 0, 0.0031709, 0, 0
95, 0, 0.0031381, 0, 0
96, 0, 0.00314425, 0, 5e-08
97, 0, 0.0031352, 0, 0
98, 0, 0.0031058, 0, 0
99, 0, 0.00307175, 0, 0
100, 0, 0.0030742, 0, 0
101, 0, 0.0030403, 0, 0
102, 0, 0.0030274, 0, 0
103, 0, 0.0030501, 0, 0
104, 0, 0.0029966, 0, 0
105, 0, 0.0029923, 0, 0
106, 0, 0.0029818, 0, 0
107, 0, 0.00293345, 0, 0
108, 0, 0.00293375, 0, 0
109, 0, 0.0029222, 0, 0
110, 0, 0.0028958, 0, 0
111, 0, 0.00289795, 0, 0
112, 0, 0.002912, 0, 0
113, 0, 0.0028496, 0, 0
114, 0, 0.0028688, 0, 0
115, 0, 0.00287815, 0, 0
116, 0, 0.0028418, 0, 0
117, 0, 0.00282665, 0, 0
118, 0, 0.00280095, 0, 0
119, 0, 0.0027968, 0, 0
120, 0, 0.00274975, 0, 0
121, 0, 0.0027376, 0, 0
122, 0, 0.0027144, 0, 0
123, 0, 0.00266955, 0, 0
124, 0, 0.0026729, 0, 0
125, 0, 0.0026644, 0, 0
126, 0, 0.00265735, 0, 0
