Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 2445483, 2288807, 141669, 7957549
1, 921117, 94633, 458150, 3096921
2, 833143, 95228, 758652, 2061482
3, 778582, 95240, 10774610, 1554149
4, 737857, 95282, 7866919, 1162077
5, 701142, 95401, 0, 849962
6, 670049, 95380, 0, 620439
7, 650951, 95414, 0, 463524
8, 628989, 94890, 0, 360390
9, 598080, 94511, 0, 286903
10, 565916, 93962, 0, 235392
11, 538551, 93462, 0, 195440
12, 517374, 93432, 0, 163992
13, 492503, 93460, 0, 138104
14, 473914, 92487, 0, 116645
15, 452082, 91805, 0, 99734
16, 431194, 92075, 0, 84899
17, 410693, 91400, 0, 73019
18, 385104, 90091, 0, 63022
19, 370612, 90069, 0, 54051
20, 354443, 90544, 0, 46772
21, 342132, 90219, 0, 40601
22, 329401, 89705, 0, 34602
23, 312104, 89336, 0, 30265
24, 300517, 88885, 0, 26471
25, 285396, 88851, 0, 23045
26, 273158, 87298, 0, 19815
27, 261903, 86927, 0, 17486
28, 252559, 86437, 0, 14955
29, 240144, 86677, 0, 13303
30, 231962, 86155, 0, 11465
31, 217188, 84986, 0, 10173
32, 206870, 85157, 0, 9002
33, 198661, 83824, 0, 7714
34, 189128, 82995, 0, 6927
35, 181473, 83278, 0, 5945
36, 175733, 82675, 0, 5186
37, 169838, 82547, 0, 4565
38, 158890, 81799, 0, 3986
39, 150514, 81015, 0, 3587
40, 144611, 80877, 0, 3117
41, 136423, 80109, 0, 2738
42, 130464, 79979, 0, 2411
43, 125093, 79158, 0, 2020
44, 115747, 78591, 0, 1853
45, 109770, 78435, 0, 1585
46, 102443, 77188, 0, 1450
47, 94900, 77061, 0, 1388
48, 86430, 77437, 0, 1095
49, 78512, 76560, 0, 1041
50, 71460, 76583, 0, 832
51, 66176, 76320, 0, 814
52, 55674, 74794, 0, 678
53, 47503, 75263, 0, 587
54, 40204, 75282, 0, 515
55, 32422, 74661, 0, 489
56, 26522, 75490, 0, 416
57, 21502, 74947, 0, 396
58, 17652, 73946, 0, 313
59, 13933, 74097, 0, 288
60, 11843, 73442, 0, 249
61, 9737, 73150, 0, 240
62, 7657, 72699, 0, 197
63, 5592, 72041, 0, 172
64, 3773, 71816, 0, 1490
65, 2053, 71734, 0, 8
66, 1484, 71029, 0, 10
67, 1073, 70957, 0, 5
68, 1001, 70018, 0, 4
69, 889, 70395, 0, 3
70, 866, 70225, 0, 3
71, 533, 70176, 0, 5
72, 258, 69339, 0, 3
73, 246, 69735, 0, 4
74, 57, 68976, 0, 2
75, 34, 68797, 0, 1
76, 55, 68149, 0, 0
77, 23, 68014, 0, 1
78, 19, 68338, 0, 1
79, 16, 67272, 0, 1
80, 0, 67457, 0, 4
81, 0, 66677, 0, 1
82, 0, 66521, 0, 0
83, 0, 66176, 0, 1
84, 0, 65612, 0, 1
85, 0, 65330, 0, 1
86, 0, 65973, 0, 0
87, 0, 64392, 0, 0
88, 0, 64432, 0, 1
89, 0, 64144, 0, 1
90, 0, 63676, 0, 2
91, 0, 62971, 0, 1
92, 0, 63771, 0, 0
93, 0, 63305, 0, 2
94, 0, 63226, 0, 0
95, 0, 62565, 0, 1
96, 0, 61925, 0, 0
97, 0, 62314, 0, 0
98, 0, 61759, 0, 0
99, 0, 61329, 0, 0
100, 0, 60518, 0, 0
101, 0, 60832, 0, 0
102, 0, 60614, 0, 0
103, 0, 59798, 0, 0
104, 0, 59387, 0, 0
105, 0, 59167, 0, 0
106, 0, 58893, 0, 0
107, 0, 58081, 0, 0
108, 0, 57813, 0, 0
109, 0, 58254, 0, 0
110, 0, 57816, 0, 0
111, 0, 57412, 0, 0
112, 0, 57034, 0, 0
113, 0, 56329, 0, 0
114, 0, 56932, 0, 0
115, 0, 56121, 0, 0
116, 0, 55589, 0, 0
117, 0, 54560, 0, 0
118, 0, 54664, 0, 0
119, 0, 54428, 0, 0
120, 0, 53557, 0, 0
121, 0, 53914, 0, 0
122, 0, 53924, 0, 0
123, 0, 53385, 0, 0
124, 0, 52689, 0, 0
125, 0, 52836, 0, 0
126, 0, 52377, 0, 0
127, 0, 51560, 0, 0
128, 0, 51876, 0, 0
129, 0, 51361, 0, 0
130, 0, 50479, 0, 0
131, 0, 50473, 0, 0
132, 0, 50719, 0, 0
133, 0, 50314, 0, 0
134, 0, 49773, 0, 0
135, 0, 49248, 0, 0
136, 0, 49364, 0, 0
137, 0, 48807, 0, 0
138, 0, 49086, 0, 0
139, 0, 49505, 0, 0
140, 0, 48644, 0, 0
141, 0, 48077, 0, 0
142, 0, 47928, 0, 0
143, 0, 48183, 0, 0
144, 0, 47319, 0, 0
145, 0, 47563, 0, 0
146, 0, 46798, 0, 0
147, 0, 46400, 0, 0
148, 0, 46573, 0, 0
149, 0, 46660, 0, 0
150, 0, 46320, 0, 0
151, 0, 45835, 0, 0
152, 0, 45958, 0, 0
153, 0, 45063, 0, 0
154, 0, 45099, 0, 0
155, 0, 44654, 0, 0
156, 0, 44759, 0, 0
157, 0, 44191, 0, 0
158, 0, 44304, 0, 0
159, 0, 43764, 0, 0
160, 0, 43079, 0, 0
