Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.446495, 0.375064, 0.0240991, 0.569008
1, 0.141793, 0.0123494, 0.0779613, 0.0734368
2, 0.0908642, 0.0113924, 0.12852, 0.0831758
3, 0.0691944, 0.0104555, 0.215102, 0.079256
4, 0.0540282, 0.00971325, 0.554318, 0.0610939
5, 0.0427666, 0.00912605, 0, 0.0397383
6, 0.034014, 0.0085148, 0, 0.023251
7, 0.0268004, 0.00808775, 0, 0.0130242
8, 0.0212443, 0.0075913, 0, 0.0076748
9, 0.0167411, 0.0071915, 0, 0.00499965
10, 0.0130461, 0.0068685, 0, 0.00357755
11, 0.0102293, 0.00651975, 0, 0.00283205
12, 0.00787795, 0.0062554, 0, 0.00232715
13, 0.00608135, 0.00596935, 0, 0.00199405
14, 0.0047848, 0.0057728, 0, 0.0017398
15, 0.00363485, 0.00548895, 0, 0.00153915
16, 0.0027311, 0.00534505, 0, 0.00135045
17, 0.00201275, 0.0051515, 0, 0.00122
18, 0.0014533, 0.004989, 0, 0.00110855
19, 0.00112785, 0.00482205, 0, 0.00101065
20, 0.0008186, 0.00466315, 0, 0.0009131
21, 0.000618, 0.0045335, 0, 0.000843
22, 0.00047065, 0.0043898, 0, 0.0007833
23, 0.00033815, 0.00430715, 0, 0.00072655
24, 0.00024725, 0.00415735, 0, 0.0006708
25, 0.000173, 0.00406975, 0, 0.0006194
26, 0.00010505, 0.0039654, 0, 0.00059155
27, 7.865e-05, 0.0038834, 0, 0.0005564
28, 5.845e-05, 0.00378695, 0, 0.00053305
29, 4.635e-05, 0.0037158, 0, 0.0004874
30, 3.705e-05, 0.00362975, 0, 0.00047075
31, 2.735e-05, 0.00355475, 0, 0.0004365
32, 1.665e-05, 0.00348225, 0, 0.0004074
33, 1.44e-05, 0.00339935, 0, 0.00039815
34, 9.85e-06, 0.0033492, 0, 0.0003783
35, 1.085e-05, 0.0032894, 0, 0.000355
36, 5.15e-06, 0.00324255, 0, 0.00034725
37, 2.2e-06, 0.0031732, 0, 0.00032975
38, 1.9e-06, 0.00311375, 0, 0.00031185
39, 0, 0.00305895, 0, 0.00030265
40, 0, 0.0030321, 0, 0.0002935
41, 0, 0.0029781, 0, 0.00028685
42, 0, 0.0029131, 0, 0.0002652
43, 0, 0.00286585, 0, 0.0002583
44, 0, 0.00282475, 0, 0.0002459
45, 0, 0.0027766, 0, 0.0002335
46, 0, 0.00273605, 0, 0.00023115
47, 0, 0.0027195, 0, 0.0002199
48, 0, 0.0026606, 0, 0.00021895
49, 0, 0.00261585, 0, 0.0002087
50, 0, 0.0025939, 0, 0.00020535
