Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8968867, 7537399, 474169, 11341426
1, 2832359, 247378, 1577246, 1470036
2, 1826934, 227599, 2588822, 1672704
3, 1376694, 209890, 4311994, 1595056
4, 1076806, 195433, 11047769, 1228891
5, 858144, 182613, 0, 800377
6, 674869, 171080, 0, 466374
7, 535631, 161530, 0, 262893
8, 422665, 152737, 0, 154406
9, 326924, 143602, 0, 99932
10, 256553, 137638, 0, 72171
11, 201204, 129978, 0, 57074
12, 154599, 124686, 0, 46911
13, 117920, 120204, 0, 40126
14, 93476, 114923, 0, 34646
15, 71517, 110577, 0, 30319
16, 53617, 106417, 0, 27098
17, 40232, 103685, 0, 24434
18, 30121, 100045, 0, 22117
19, 23008, 96828, 0, 20204
20, 16494, 94042, 0, 18295
21, 12694, 90463, 0, 17130
22, 8349, 88714, 0, 15709
23, 5689, 86537, 0, 14428
24, 3965, 83971, 0, 13661
25, 2819, 81485, 0, 12549
26, 1910, 79404, 0, 11739
27, 1353, 78183, 0, 11173
28, 922, 76020, 0, 10488
29, 863, 74622, 0, 9816
30, 538, 73136, 0, 9181
31, 476, 71106, 0, 8913
32, 474, 69900, 0, 8360
33, 450, 68471, 0, 7997
34, 278, 67390, 0, 7474
35, 200, 65957, 0, 7213
36, 99, 64781, 0, 6801
37, 63, 63380, 0, 6616
38, 68, 62398, 0, 6432
39, 56, 61414, 0, 5981
40, 28, 60532, 0, 5936
41, 44, 59267, 0, 5661
42, 28, 58026, 0, 5378
43, 0, 57558, 0, 4982
44, 0, 56703, 0, 4909
45, 0, 55418, 0, 4816
46, 0, 55062, 0, 4672
47, 0, 53986, 0, 4429
48, 0, 53412, 0, 4415
49, 0, 52394, 0, 4204
50, 0, 51763, 0, 4078
51, 0, 51593, 0, 3883
52, 0, 50509, 0, 3882
53, 0, 49748, 0, 3705
54, 0, 49625, 0, 3588
55, 0, 48530, 0, 3477
56, 0, 47963, 0, 3287
57, 0, 47452, 0, 3252
58, 0, 47150, 0, 3270
59, 0, 46224, 0, 3108
60, 0, 45765, 0, 3029
61, 0, 45190, 0, 3019
62, 0, 44285, 0, 2850
63, 0, 43777, 0, 2806
64, 0, 43885, 0, 165665
65, 0, 43114, 0, 740
66, 0, 42607, 0, 755
67, 0, 41826, 0, 751
68, 0, 41842, 0, 734
69, 0, 41382, 0, 697
70, 0, 40093, 0, 734
71, 0, 40730, 0, 706
72, 0, 39879, 0, 686
73, 0, 39773, 0, 654
74, 0, 39183, 0, 640
75, 0, 38496, 0, 625
76, 0, 38163, 0, 621
77, 0, 38326, 0, 598
78, 0, 37378, 0, 563
79, 0, 36912, 0, 604
80, 0, 36890, 0, 562
81, 0, 36639, 0, 547
82, 0, 36284, 0, 538
83, 0, 35828, 0, 538
84, 0, 35270, 0, 490
85, 0, 34996, 0, 571
86, 0, 34456, 0, 498
87, 0, 34370, 0, 522
88, 0, 34201, 0, 522
89, 0, 34200, 0, 489
90, 0, 33720, 0, 486
91, 0, 33424, 0, 473
92, 0, 33044, 0, 456
93, 0, 32967, 0, 458
94, 0, 32621, 0, 443
95, 0, 32714, 0, 436
96, 0, 31722, 0, 437
97, 0, 31848, 0, 387
98, 0, 31332, 0, 435
99, 0, 31356, 0, 419
100, 0, 30891, 0, 353
101, 0, 30731, 0, 401
102, 0, 30344, 0, 418
103, 0, 29898, 0, 410
104, 0, 29952, 0, 337
105, 0, 29626, 0, 341
106, 0, 29054, 0, 371
107, 0, 29027, 0, 369
108, 0, 28729, 0, 329
109, 0, 28735, 0, 355
110, 0, 28529, 0, 360
111, 0, 28144, 0, 341
112, 0, 27984, 0, 373
113, 0, 27872, 0, 311
114, 0, 27914, 0, 353
115, 0, 27715, 0, 310
116, 0, 27582, 0, 325
117, 0, 27234, 0, 328
118, 0, 27031, 0, 276
119, 0, 26988, 0, 322
120, 0, 26473, 0, 300
121, 0, 26486, 0, 281
122, 0, 26392, 0, 287
123, 0, 26224, 0, 293
124, 0, 25849, 0, 261
125, 0, 25481, 0, 280
126, 0, 25256, 0, 268
127, 0, 25304, 0, 240
128, 0, 25313, 0, 28034
129, 0, 24822, 0, 39
130, 0, 24830, 0, 42
131, 0, 24532, 0, 39
132, 0, 24493, 0, 40
133, 0, 24021, 0, 39
134, 0, 23911, 0, 37
135, 0, 23834, 0, 26
136, 0, 23296, 0, 46
137, 0, 23825, 0, 40
138, 0, 23278, 0, 36
139, 0, 23102, 0, 43
140, 0, 23617, 0, 41
141, 0, 23004, 0, 32
142, 0, 22834, 0, 31
143, 0, 22818, 0, 35
144, 0, 22370, 0, 30
145, 0, 22542, 0, 26
146, 0, 22112, 0, 37
147, 0, 22415, 0, 25
148, 0, 21628, 0, 34
149, 0, 21896, 0, 37
150, 0, 21935, 0, 31
151, 0, 21713, 0, 23
152, 0, 21717, 0, 26
153, 0, 21425, 0, 24
154, 0, 20891, 0, 28
155, 0, 21285, 0, 26
156, 0, 20789, 0, 29
157, 0, 20682, 0, 38
158, 0, 20464, 0, 31
159, 0, 20609, 0, 35
160, 0, 20604, 0, 35
161, 0, 20404, 0, 15
162, 0, 20145, 0, 31
163, 0, 20190, 0, 33
164, 0, 20285, 0, 21
165, 0, 19910, 0, 19
166, 0, 20059, 0, 20
167, 0, 19758, 0, 19
168, 0, 19788, 0, 24
169, 0, 19283, 0, 27
170, 0, 19458, 0, 27
171, 0, 19202, 0, 22
172, 0, 19441, 0, 16
173, 0, 19069, 0, 34
174, 0, 18918, 0, 26
175, 0, 18733, 0, 26
176, 0, 18845, 0, 20
177, 0, 18605, 0, 28
178, 0, 18898, 0, 22
179, 0, 18711, 0, 15
180, 0, 18457, 0, 22
181, 0, 18472, 0, 21
182, 0, 18305, 0, 14
183, 0, 18061, 0, 18
184, 0, 17927, 0, 20
185, 0, 18164, 0, 19
186, 0, 17718, 0, 27
187, 0, 17856, 0, 19
188, 0, 17505, 0, 14
189, 0, 17381, 0, 19
190, 0, 17558, 0, 15
191, 0, 17225, 0, 16
192, 0, 17156, 0, 1704
193, 0, 17485, 0, 0
194, 0, 17354, 0, 1
195, 0, 17157, 0, 0
196, 0, 17108, 0, 0
197, 0, 16749, 0, 1
198, 0, 17048, 0, 0
199, 0, 16608, 0, 1
200, 0, 16553, 0, 1
201, 0, 16603, 0, 2
202, 0, 16539, 0, 1
203, 0, 16398, 0, 0
204, 0, 16271, 0, 0
205, 0, 16348, 0, 2
